"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/14/2024","AirNow","360010012","1","0.041","ppm","38","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/15/2024","AirNow","360010012","1","0.038","ppm","35","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/16/2024","AirNow","360010012","1","0.034","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/17/2024","AirNow","360010012","1","0.034","ppm","31","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/18/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/19/2024","AirNow","360010012","1","0.039","ppm","36","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/20/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/21/2024","AirNow","360010012","1","0.04","ppm","37","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/22/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/23/2024","AirNow","360010012","1","0.026","ppm","24","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/24/2024","AirNow","360010012","1","0.038","ppm","35","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/25/2024","AirNow","360010012","1","0.038","ppm","35","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/26/2024","AirNow","360010012","1","0.037","ppm","34","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/27/2024","AirNow","360010012","1","0.047","ppm","44","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/28/2024","AirNow","360010012","1","0.035","ppm","32","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
