,COMID,Date,Time,HUC_12,State,Temp.C,pH.std_units,Alkalinity.ueq/kgw,pCO2.uatm,CO2.mg/l
141,24407271,2017-07-24,12:05:00,170200150903,WA,20.3,8.1,2138.074,999.460327083821,1.70736313738758
142,24407271,2017-04-12,14:37:00,170200150903,WA,11.3,8.22,2797.48,877.49975814219,1.98628070559502
143,24407271,2011-07-19,10:50:00,170200150903,WA,18.7,8.0,1670.4952,968.405205696473,1.73430806381738
144,24407271,1999-02-22,13:09:00,170200150903,WA,5.6,8.4,4216.202,808.592272823966,2.2357514728221
145,24407271,2007-10-09,09:30:00,170200150903,WA,12.7,7.8,2138.074,1817.49034676962,3.92751555630568
146,24407271,2008-06-10,10:00:00,170200150903,WA,11.8,7.8,1622.5384,1370.22730294965,3.05061175830204
147,24407271,2005-07-13,10:00:00,170200150903,WA,18.1,7.8,1588.569,1454.02867048684,2.65132295312335
148,24407271,2004-02-09,11:45:00,170200150903,WA,2.8,8.3,4775.698,1121.94044935162,3.44627429925163
149,24407271,2020-07-29,12:30:00,170200150903,WA,22.0,8.6,2277.948,334.907530263059,0.544839704778214
150,24407271,2018-04-03,13:02:00,170200150903,WA,8.2,8.18,1998.2,668.1297441397,1.68273160619932
151,24407271,2001-10-16,10:53:00,170200150903,WA,12.3,8.12,1950.2432,786.506479354751,1.72217643967078
152,24407271,2003-09-30,12:45:00,170200150903,WA,15.4,7.9,2118.092,1477.61988049395,2.92772045313567
153,24407271,2000-05-22,11:55:00,170200150903,WA,16.8,8.84,1488.659,115.700195335404,0.219490728144673
154,24407271,2003-05-14,13:00:00,170200150903,WA,16.3,8.3,1474.6716,412.29324545513,0.794325504188151
155,24407271,2018-07-25,11:30:00,170200150903,WA,22.8,8.08,2198.02,1113.74822797132,1.77154881609131
156,24407271,2011-04-19,10:50:00,170200150903,WA,6.4,7.5,1458.686,2318.60180651992,6.22833977282645
157,24407271,2020-04-22,12:50:00,170200150903,WA,12.2,8.4,1616.5438,339.544593013253,0.745974770293486
158,24407271,2012-10-10,10:30:00,170200150903,WA,12.7,8.2,2497.75,836.472898725292,1.80750154688659
159,24407271,2007-02-05,10:00:00,170200150903,WA,0.7,8.3,4056.346,938.137036895413,3.1285433590433
160,24407271,2013-06-18,10:40:00,170200150903,WA,17.2,6.9,1556.5978,11243.6645385436,21.0699461900187
161,24407271,2010-02-09,10:35:00,170200150903,WA,6.3,8.2,4036.364,1244.83832462666,3.35510007986423
162,24407271,2014-06-09,09:50:00,170200150903,WA,18.6,7.3,1654.5096,4837.92186192662,8.69014302174791
163,24407271,2002-07-10,11:50:00,170200150903,WA,21.3,8.2,1770.4052,666.310635113358,1.10589088141765
164,24407271,2004-10-13,12:30:00,170200150903,WA,12.6,8.0,2098.11,1120.96691715877,2.43034012931426
165,24407271,2003-06-30,08:00:00,170200150903,WA,18.6,7.9,1540.6122,1126.40253406669,2.02333128435534
166,24407271,1999-10-27,13:37:00,170200150903,WA,9.8,8.5,3856.526,612.766973771097,1.45935471212635
167,24407271,2000-07-12,11:29:00,170200150903,WA,19.7,8.5,1734.4376,315.457402454263,0.548455468088333
168,24407271,2009-07-14,10:25:00,170200150903,WA,18.3,7.8,1622.5384,1488.62299774796,2.69810637601144
169,24407271,2005-06-08,11:00:00,170200150903,WA,14.9,7.9,1524.6266,1062.34460171477,2.13854749559138
170,24407271,2019-10-15,09:36:00,170200150903,WA,10.0,8.1,2537.714,1038.6922232017,2.45720105395244
171,24407271,2011-10-12,10:50:00,170200150903,WA,12.8,7.7,2138.074,2293.3146603062,4.93952362827277
172,24407271,2014-07-22,09:35:00,170200150903,WA,19.1,6.9,1818.362,13443.2930533335,23.7902100054507
173,24407271,2003-02-11,11:05:00,170200150903,WA,2.0,8.5,4595.86,672.044140936237,2.1292573241796
174,24407271,2009-02-10,12:47:00,170200150903,WA,0.9,8.6,4136.274,474.719936943115,1.5705754425001
175,24407271,2016-03-28,14:50:00,170200150903,WA,10.8,8.6,3956.436,501.466012513397,1.15422465428223
176,24407271,2015-04-21,09:30:00,170200150903,WA,12.7,7.8,1442.7004,1233.89396902956,2.66660437952187
177,24407271,2009-04-14,10:05:00,170200150903,WA,5.3,7.5,1458.686,2291.31489065185,6.40796678306904
178,24407271,2004-06-14,12:30:00,170200150903,WA,16.3,8.3,1556.5978,434.85424457617,0.837783559520069
179,24407271,2001-02-07,14:51:00,170200150903,WA,1.1,8.6,4795.68,549.37247219094,1.80308939587098
180,24407271,2015-06-10,10:00:00,170200150903,WA,20.8,8.3,1654.5096,489.788748621573,0.824701492698407
181,24407271,1999-05-24,10:42:00,170200150903,WA,16.0,8.0,1654.5096,925.917360856971,1.80055135230385
182,24407271,2005-10-12,10:00:00,170200150903,WA,12.8,8.3,2038.164,542.994908025253,1.16955601707928
183,24407271,2017-06-19,13:35:00,170200150903,WA,19.8,7.93,1638.524,1134.61461204165,1.96689149165688
